MainID,CrossStreetMainID,STREET,FROM,TO,District,StartTime,EndTime,Side,Miles,oneway,week1,week2,week3,week4,week5,EveryDay,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Yearround
1864,1713,MOUNT BOWDOIN TERRACE,ELDON STREET,MALLON ROAD,3,12:00:00.0000000,16:00:00.0000000,Odd,0.1725,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1865,131,MOZART STREET,CENTRE STREET,LAMARTINE STREET,2,12:00:00.0000000,16:00:00.0000000,Odd,0.2549,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
1866,1361,MOZART STREET,CENTRE STREET,LAMARTINE STREET,2,12:00:00.0000000,16:00:00.0000000,Even,0.2549,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
1867,2541,MONSIGNOR PATRICK J LYDON WAY,DORCHESTER AVENUE,ADAMS STREET,7,08:00:00.0000000,12:00:00.0000000,Odd,0.4063,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
1868,2542,MONSIGNOR PATRICK J LYDON WAY,DORCHESTER AVENUE,ADAMS STREET,7,08:00:00.0000000,12:00:00.0000000,Even,0.4063,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
1869,1551,PAXTON STREET,BLUE HILL AVENUE,HARVARD STREET,7,12:00:00.0000000,16:00:00.0000000,Even,0.0555,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
1870,969,NEW STREET,SUMNER STREET,MAVERICK STREET,9,08:00:00.0000000,12:00:00.0000000,Even,0.0966,False,True,True,True,True,True,False,False,False,True,False,False,False,False,False
1871,77,NIGHTINGALE STREET,BERNARD STREET,TALBOT AVENUE,3,12:00:00.0000000,16:00:00.0000000,Odd,0.2898,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
1872,154,MT EVERETT STREET,QUINCY STREET,HAMILTON STREET,3,12:00:00.0000000,16:00:00.0000000,Odd,0.1496,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1873,1287,MT EVERETT STREET,QUINCY STREET,HAMILTON STREET,3,12:00:00.0000000,16:00:00.0000000,Even,0.1496,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1874,536,MOUNT IDA ROAD,BOWDOIN STREET,ROBINSON STREET,3,08:00:00.0000000,12:00:00.0000000,Odd,0.3716,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
1875,1278,MOUNT IDA ROAD,BOWDOIN STREET,ROBINSON STREET,3,08:00:00.0000000,12:00:00.0000000,Even,0.3716,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
1876,962,MT HOOD ROAD,COREY ROAD,COMMONWEALTH AVENUE,4,08:00:00.0000000,12:00:00.0000000,Even,0.1388,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
