code,description,periods,time_max_parking,time_start,time_end,time_duration,lun,mar,mer,jeu,ven,sam,dim,daily,special_days,restrict_types,permit_no
R7-RPZ6-1,"NO PARKING 8P-12A, EXC BY ZN 6 PERMIT",,,20,24,4,,,,,,,,1,,permit,6
R7-RPZ7,"NO PARKING 7A-6P, EXC BY ZN 7 PERMIT",,,7,18,11,,,,,,,,1,,permit,7
R7-RPZ7-1,"NO PARKING 7A-6P EXC SUN-HOL, EXC BY ZN 7 PERMIT",,,7,18,11,1,1,1,1,1,1,,,,permit,7
R7-RPZ7X,"30 M 8A-6P EXC SUN-HOL, NO PARKING 6P-8A, EXC BY ZN 7 PERMIT",,30,8,18,10,1,1,1,1,1,1,,,,,
R7-RPZ7X,"30 M 8A-6P EXC SUN-HOL, NO PARKING 6P-8A, EXC BY ZN 7 PERMIT",,,18,24,6,,,,,,,,1,,permit,7
R7-RPZ7X,"30 M 8A-6P EXC SUN-HOL, NO PARKING 6P-8A, EXC BY ZN 7 PERMIT",,,0,8,8,,,,,,,,1,,permit,7
R7-RPZ7X,"NO PARKING 6P-8A, EXC BY ZN 7 PERMIT",,,18,24,6,,,,,,,,1,,permit,7
R7-RPZ7X,"NO PARKING 6P-8A, EXC BY ZN 7 PERMIT",,,0,8,8,,,,,,,,1,,permit,7
R7-RPZ8,"NO PARKING 6P-MID, EXC BY ZN 8 PERMIT",,,18,24,6,,,,,,,,1,,permit,8
R7-RPZ8-1,"NO PARKING 7AM-6PM,MON-FRI",,,7,18,11,1,1,1,1,1,,,,,,
R7-RPZA,NO PARKING VARIABLE DATES & TIMES EXC BY ZN A PERMIT,,,0,24,24,,,,,,,,1,,permit,A
R7-RPZB,NO PARKING VARIABLE DATES & TIMES EXC BY ZN B PERMIT,,,0,24,24,,,,,,,,1,,permit,B
R7-S,NO PARKING ANYTIME,,,0,24,24,,,,,,,,1,,,
R7-S-1,NO STOPS TOW AWAY ZONE,,,0,24,24,,,,,,,,1,,,
R7-S-2,NO PARKING 7AM-5PM EXC SAT-SUN-HOL,,,7,17,10,1,1,1,1,1,,,,,,
R7-SCHDAY,NO PARKING SCHOOL DAYS 8AM-5PM,,,8,17,9,1,1,1,1,1,,,,school,,
R7-SCHDAY-1,NO PARKING SCHOOL DAYS 7AM-3PM,,,7,15,8,1,1,1,1,1,,,,school,,
R7-SCHDAY-2,NO PARKING SCHOOL DAYS 7AM-4PM,,,7,16,9,1,1,1,1,1,,,,school,,
R7-SCHDAY-3,"NO PARKING SCHOOL DAYS 8:30AM-9:30AM,2:30-3:30PM",,,8.5,9.5,1,1,1,1,1,1,,,,school,,
R7-SCHDAY-3,"NO PARKING SCHOOL DAYS 8:30AM-9:30AM,2:30-3:30PM",,,14.5,15.5,1,1,1,1,1,1,,,,school,,
R7-SCHDAYX,No Parking School Days 8-10 AM and 2-4 PM,,,8,10,2,1,1,1,1,1,,,,school,,
R7-SCHDAYX,No Parking School Days 8-10 AM and 2-4 PM,,,14,16,2,1,1,1,1,1,,,,school,,
R7-SCHDAYX-1,NO PARKING SCHOOL DAYS 8AM-4PM,,,8,16,8,1,1,1,1,1,,,,school,,
R7-SCHDAYX-2,NO PARKING SCHOOL DAYS 8AM-3PM,,,8,15,7,1,1,1,1,1,,,,school,,
R7-SCHDAYX-3,NP PARKING SCHOOL DAYS 8;00-8:45AM MON-FRI;1;30-2;30PM MON;2:30-3:30PM TUES-FRI,,,8,9,1,1,1,1,1,1,,,,school,,
R7-SCHDAYX-3,NP PARKING SCHOOL DAYS 8;00-8:45AM MON-FRI;1;30-2;30PM MON;2:30-3:30PM TUES-FRI,,,1.5,2.5,1,1,,,,,,,,school,,
R7-SCHDAYX-3,NP PARKING SCHOOL DAYS 8;00-8:45AM MON-FRI;1;30-2;30PM MON;2:30-3:30PM TUES-FRI,,,2.5,3.5,1,,1,1,1,1,,,,school,,
R7-SCHDAYX-4,NO PARKING ON SCHOOL DAYS SOUTH OF HERE,,,0,24,24,1,1,1,1,1,,,,school,,
R7-ST,NO STOPS EXC SAT-SUN-HOL TAZ,,,0,24,24,1,1,1,1,1,,,,,,
R7-STA,NO STOPS 7-9 AM EXC SAT-SUN-HOL TAZ,,,7,9,2,1,1,1,1,1,,,,,,
R7-STAB,NO STOPS 6-9 AM EXC SAT-SUN-HOL,,,6,9,3,1,1,1,1,1,,,,,,
R7-STAB-1,30 MINUTE COMMERCIAL OR PERMIT VEHICLE LOAD ONLY 9AM-6PM EXCEPT SUN-HOL NO STOPS 6-9AM EXC SAT-SUN-HOL,,30,9,18,9,1,1,1,1,1,1,,,,permit,commercial
R7-STAB-1,30 MINUTE COMMERCIAL OR PERMIT VEHICLE LOAD ONLY 9AM-6PM EXCEPT SUN-HOL NO STOPS 6-9AM EXC SAT-SUN-HOL,,,6,9,3,1,1,1,1,1,,,,,,
R7-STAD,"NO STOPS 7-9A 3-7P EXC SAT-SUN-HOL, TAZ",,,7,9,2,1,1,1,1,1,,,,,,
R7-STAD,"NO STOPS 7-9A 3-7P EXC SAT-SUN-HOL, TAZ",,,15,19,4,1,1,1,1,1,,,,,,
R7-STAP,NO STOPS 7-9 AM 4-6PM EXC SAT-SUN-HOL TAZ,,,7,9,2,1,1,1,1,1,,,,,,
R7-STAP,NO STOPS 7-9 AM 4-6PM EXC SAT-SUN-HOL TAZ,,,16,18,2,1,1,1,1,1,,,,,,
R7-STAPB,"NO STOPS 6-9A 3-6P EXC SAT-SUN-HOL, TAZ",,,6,9,3,1,1,1,1,1,,,,,,
R7-STAPB,"NO STOPS 6-9A 3-6P EXC SAT-SUN-HOL, TAZ",,,15,18,3,1,1,1,1,1,,,,,,
R7-STAPBD,"NO STOPS 6-9A 3-7P EXC SAT-SUN-HOL, TAZ",,,6,9,3,1,1,1,1,1,,,,,,
R7-STAPBD,"NO STOPS 6-9A 3-7P EXC SAT-SUN-HOL, TAZ",,,15,19,4,1,1,1,1,1,,,,,,
R7-STCAR,STREETCAR ZONE,,,0,24,24,,,,,,,,,,bus,
R7-STOPS,NO STOPS,,,0,24,24,,,,,,,,1,,,
