id_trc,rue_nom,rue_de,rue_a,id_trc_pair,rule_pair_1,rule_pair_2,id_trc_impair,rule_impair_1,rule_impair_2
1601383,Deuxième,Bannantyne,Champlain,16013832,MTLVER-16,MTLVER-37,16013831,MTLVER-11,MTLVER-35
1601462,Deuxième,Lasalle,Wellington,16014622,MTLVER-16,MTLVER-37,16014621,MTLVER-11,MTLVER-35
1601409,Deuxième,Verdun,Bannantyne,16014092,MTLVER-16,MTLVER-37,16014091,MTLVER-11,MTLVER-35
1601424,Deuxième,Wellington,Verdun,16014242,MTLVER-16,MTLVER-37,16014241,MTLVER-11,MTLVER-35
1601653,Dunver,Crawford,Cul-de-sac,16016532,MTLVER-17,MTLVER-37,16016531,MTLVER-15,MTLVER-35
1601366,Dupuis,Bannantyne,Lesage (courbe),16013662,MTLVER-12,MTLVER-34,16013661,MTLVER-NP,
1601328,Dupuis,Claude,Newmarch,16013282,MTLVER-12,MTLVER-34,16013281,MTLVER-NP,
1601327,Dupuis,Joseph,Claude,16013272,MTLVER-12,MTLVER-34,16013271,MTLVER-NP,
1601329,Dupuis,Newmarch,Bannantyne,16013292,MTLVER-NP,,16013291,MTLVER-NP,
1601401,Edna,Lasalle,Église,16014012,MTLVER-18,MTLVER-36,16014011,MTLVER-07,MTLVER-39
1601563,Egan,Bannantyne,Champlain,16015632,MTLVER-04,MTLVER-33,16015631,MTLVER-06,MTLVER-32
1601493,Egan,Verdun,Bannantyne,16014932,MTLVER-04,MTLVER-33,16014931,MTLVER-06,MTLVER-32
1601496,Egan,Wellington,Verdun,16014962,MTLVER-04,MTLVER-33,16014961,MTLVER-06,MTLVER-32
1601357,Église,Bannantyne,Lanouette,16013572,MTLVER-19,MTLVER-40,16013571,MTLVER-30,MTLVER-47
1601341,Église,Claude,Newmarch,16013412,MTLVER-19,MTLVER-40,16013411,MTLVER-30,MTLVER-47
1601359,Église,Cool,Lesage,16013592,MTLVER-19,MTLVER-40,16013591,MTLVER-30,MTLVER-47
1601292,Église,Edna,Ross,16012922,MTLVER-21,MTLVER-41,16012921,MTLVER-21,MTLVER-48
1601320,Église,Ethel,Gertrude,16013202,MTLVER-21,MTLVER-41,16013201,MTLVER-21,MTLVER-48
1601374,Église,Evangéline,Pont de l'Église,16013742,MTLVER-NP,,16013741,MTLVER-NP,
1601322,Église,Evelyn,Verdun,16013222,MTLVER-21,MTLVER-41,16013221,MTLVER-21,MTLVER-48
1601321,Église,Gertrude,Evelyn,16013212,MTLVER-21,MTLVER-41,16013211,MTLVER-21,MTLVER-48
1601340,Église,Joseph,Claude,16013402,MTLVER-19,MTLVER-40,16013401,MTLVER-30,MTLVER-47
1601358,Église,Lanouette,Cool,16013582,MTLVER-19,MTLVER-40,16013581,MTLVER-30,MTLVER-47
1601293,Église,Lasalle,Edna,16012932,MTLVER-21,MTLVER-41,16012931,MTLVER-21,MTLVER-48
1601369,Église,Lesage,Evangéline,16013692,MTLVER-NP,,16013691,MTLVER-NP,
1601356,Église,Newmarch,Bannantyne,16013562,MTLVER-19,MTLVER-40,16013561,MTLVER-30,MTLVER-47
1601291,Église,Ross,Wellington,16012912,MTLVER-21,MTLVER-41,16012911,MTLVER-21,MTLVER-48
1601339,Église,Verdun,Joseph,16013392,MTLVER-19,MTLVER-40,16013391,MTLVER-30,MTLVER-47
1601264,Église,Wellington,Ethel,16012642,MTLVER-21,MTLVER-41,16012641,MTLVER-21,MTLVER-48
"1601308,4010576",Église (nord),Gaétan-Laberge,Lasalle,"16013082,40105762",MTLVER-ARR,,"16013081,40105761",MTLVER-NP,
1601307,Église (sud),Gaétan-Laberge,Lasalle,16013072,MTLVER-NP,,16013071,MTLVER-ARR,
1601263,Ethel,Hickson,Église,16012632,MTLVER-NP,,16012631,MTLVER-18,MTLVER-32
,Ethel,Lasalle,Strathmore,,MTLVER-07,MTLVER-33,,MTLVER-NP,
,Ethel,mi Régina-Hickson,Hickson,,MTLVER-07,MTLVER-33,,MTLVER-18,MTLVER-32
,Ethel,Régina,mi Régina-Hickson,,MTLVER-07,MTLVER-33,,MTLVER-18,MTLVER-32
1601222,Ethel,Strathmore,Régina,16012222,MTLVER-07,MTLVER-33,16012221,MTLVER-18,MTLVER-32
1601368,Evangéline,Hickson,Église,16013682,MTLVER-20,MTLVER-35,16013681,MTLVER-18,MTLVER-37
1601204,Evelyn,Caisse,Strathmore,16012042,MTLVER-07,MTLVER-33,16012041,MTLVER-18,MTLVER-32
1601318,Evelyn,Hickson,Église,16013182,MTLVER-07,MTLVER-33,16013181,MTLVER-18,MTLVER-32
1601176,Evelyn,Lasalle,Caisse,16011762,MTLVER-07,MTLVER-33,16011761,MTLVER-18,MTLVER-32
,Evelyn,mi Régina-Hickson,Hickson,,MTLVER-07,MTLVER-33,,MTLVER-18,MTLVER-32
,Evelyn,Régina,mi Régina-Hickson,,MTLVER-07,MTLVER-33,,MTLVER-18,MTLVER-32
1601218,Evelyn,Strathmore,Régina,16012182,MTLVER-07,MTLVER-33,16012181,MTLVER-18,MTLVER-32
1601662,Fayolle,Churchill,Ouimet,16016622,MTLVER-13,MTLVER-35,16016621,MTLVER-10,MTLVER-37
1601666,Fayolle,Lasalle,Churchill,16016662,MTLVER-13,MTLVER-35,16016661,MTLVER-10,MTLVER-37
1601721,Fayolle,Ouimet,Truman,16017212,MTLVER-13,MTLVER-35,16017211,MTLVER-10,MTLVER-37
1601997,Fayolle,Truman,Champlain,16019972,MTLVER-13,MTLVER-35,16019971,MTLVER-10,MTLVER-37
1601659,Foch,Churchill,Ouimet,16016592,MTLVER-10,MTLVER-37,16016591,MTLVER-13,MTLVER-35
1601669,Foch,Lasalle,Churchill,16016692,MTLVER-10,MTLVER-37,16016691,MTLVER-13,MTLVER-35
"1601692,4005858,4005857",Foch,Ouimet,cul-de-sac,"16016922,40058582,40058572",MTLVER-10,MTLVER-37,"16016921,40058581,40058571",MTLVER-13,MTLVER-35
4007127,Gaétan-Laberge (est),Gilberte-Dubé,Rhéaume,40071272,MTLVER-NP,,40071271,MTLVER-NP,
"4010570,4010571,1601290,4010575",Gaétan-Laberge (est),Hickson,Église,"40105702,40105712,16012902,40105752",MTLVER-22,MTLVER-34,"40105701,40105711,16012901,40105751",MTLVER-NP,
"1601281,4010527",Gaétan-Laberge (est),Rhéaume,Hickson,"16012812,40105272",MTLVER-NP,,"16012811,40105271",MTLVER-NP,
"4007124,4007123",Gaétan-Laberge (ouest),Gilberte-Dubé,Rhéaume,"40071242,40071232",MTLVER-NP,,"40071241,40071231",MTLVER-26,MTLVER-43
"4010573,4010572,1601289,1601400",Gaétan-Laberge (ouest),Hickson,Église,"40105732,40105722,16012892,16014002",MTLVER-NP,,"40105731,40105721,16012891,16014001",MTLVER-26,MTLVER-43
"4007134,1601280",Gaétan-Laberge (ouest),Rhéaume,Hickson,"40071342,16012802",MTLVER-NP,,"40071341,16012801",MTLVER-26,MTLVER-43
4007721,Galt,Bannantyne,Champlain,40077212,MTLVER-23,MTLVER-39,40077211,MTLVER-08,MTLVER-36
"4000995,1601299,4001546",Galt,Brises du fleuve,Lasalle,"40009952,16012992,40015462",MTLVER-NP,,"40009951,16012991,40015461",MTLVER-NP,
"4010480,4000806",Galt,Champlain,Vérendrye (pont Galt),"40104802,40008062",MTLVER-ARR,,"40104801,40008061",MTLVER-ARR,
1601361,Galt,Claude,Bannantyne,16013612,MTLVER-23,MTLVER-39,16013611,MTLVER-08,MTLVER-36
"4001547,4005890,4005889",Galt,cul-de sac,Brises du fleuve,"40015472,40058902,40058892",MTLVER-23,MTLVER-33,"40015471,40058901,40058891",MTLVER-08,MTLVER-32
1601297,Galt,Lasalle,Wellington,16012972,MTLVER-23,MTLVER-39,16012971,MTLVER-08,MTLVER-36
1601343,Galt,Verdun,Claude,16013432,MTLVER-23,MTLVER-39,16013431,MTLVER-08,MTLVER-36
1601324,Galt,Wellington,Verdun,16013242,MTLVER-23,MTLVER-39,16013241,MTLVER-08,MTLVER-36
1601206,Gertrude,Caisse,Strathmore,16012062,MTLVER-18,MTLVER-32,16012061,MTLVER-07,MTLVER-33
1601317,Gertrude,Hickson,Église,16013172,MTLVER-18,MTLVER-32,16013171,MTLVER-07,MTLVER-33
,Gertrude,mi Régina-Hickson,Hickson,,MTLVER-18,MTLVER-32,,MTLVER-07,MTLVER-33
,Gertrude,Régina,mi Régina-Hickson,,MTLVER-18,MTLVER-32,,MTLVER-07,MTLVER-33
1601220,Gertrude,Strathmore,Régina,16012202,MTLVER-18,MTLVER-32,16012201,MTLVER-07,MTLVER-33
4001509,Gibbons,cul-de-sac,Lasalle,40015092,MTLVER-07,MTLVER-33,40015091,MTLVER-18,MTLVER-32
1601243,Gilberte-Dubé,Gaétan-Laberge,Wellington,16012432,MTLVER-NP,MTLVER-32,16012431,MTLVER-11,MTLVER-33
4001784,Gilberte-Dubé,Rushbrooke,Jacques-Lauzon,40017842,MTLVER-16,MTLVER-32,40017841,MTLVER-11,MTLVER-33
1601234,Gilberte-Dubé,Wellington,Rushbrooke,16012342,MTLVER-16,MTLVER-32,16012341,MTLVER-11,MTLVER-33
1601571,Godin,Bannantyne,Monteith,16015712,MTLVER-01,MTLVER-32,16015711,MTLVER-02,MTLVER-33
1601515,Godin,Lasalle,Verdun,16015152,MTLVER-NP,,16015151,MTLVER-NP,
1601599,Godin,Monteith,Beurling,16015992,MTLVER-01,MTLVER-32,16015991,MTLVER-02,MTLVER-33
1601513,Godin,Verdun,Bannantyne,16015132,MTLVER-01,MTLVER-32,16015131,MTLVER-02,MTLVER-33
1601371,Gordon,Bannantyne,Champlain,16013712,MTLVER-24,MTLVER-37,16013711,MTLVER-20,MTLVER-35
1601301,Gordon,Lasalle,Wellington,16013012,MTLVER-24,MTLVER-37,16013011,MTLVER-20,MTLVER-35
"4001007,4001008",Gordon,Verdun,Bannantyne,"40010072,40010082",MTLVER-24,MTLVER-37,"40010071,40010081",MTLVER-20,MTLVER-35
1601325,Gordon,Wellington,Verdun,16013252,MTLVER-24,MTLVER-37,16013251,MTLVER-20,MTLVER-35
1601196,Henri-Duhamel,Poudrière (est),Poudrière (ouest),16011962,MTLVER-16,MTLVER-32,16011961,MTLVER-NP,MTLVER-33
1601174,Henri-Duhamel (nord),Lasalle,Verdun,16011742,MTLVER-ARR,,16011741,MTLVER-NP,MTLVER-33
"4010517,4010518",Henri-Duhamel (nord),Poudrière (ouest),Lasalle,"40105172,40105182",MTLVER-ARR,,"40105171,40105181",MTLVER-ARR,
4010512,Henri-Duhamel (nord),Verdun,Joseph,40105122,MTLVER-ARR,,40105121,MTLVER-NP,MTLVER-33
"4010522,4010523",Henri-Duhamel (sud),Lasalle,Verdun,"40105222,40105232",MTLVER-16,MTLVER-32,"40105221,40105231",MTLVER-ARR,
"4010519,4010520",Henri-Duhamel (sud),Poudrière (ouest),Lasalle,"40105192,40105202",MTLVER-ARR,,"40105191,40105201",MTLVER-ARR,
4010513,Henri-Duhamel (sud),Verdun,Joseph,40105132,MTLVER-16,MTLVER-32,40105131,MTLVER-ARR,
